Circulating Library,Destination Library,Transit ID
Albright Memorial Library,Lilly Washington Public Library,9
Albright Memorial Library,Martinsburg Community Library,84
Albright Memorial Library,Milford Library,868
Albright Memorial Library,Montrose,338
Albright Memorial Library,Nancy Kay Holmes Branch Library,1378
Albright Memorial Library,Nanty Glo Public Library,59
Albright Memorial Library,Newfoundland Area Library,94
Albright Memorial Library,North Pocono Public Library,2641
Albright Memorial Library,Northern Cambria Public Library,41
Albright Memorial Library,Northern Wayne Community Library,13
Albright Memorial Library,Patton Public Library,28
Albright Memorial Library,Pleasant Mount Library,91
Albright Memorial Library,Portage Public Library,70
Albright Memorial Library,Roaring Spring Community Library,26
Albright Memorial Library,South Fork Public Library,10
Albright Memorial Library,Susquehanna,170
Albright Memorial Library,Taylor Community Library,2099
Albright Memorial Library,Tunkhannock Public Library,404
Albright Memorial Library,Tyrone-Snyder Public Library,93
Albright Memorial Library,Valley Community Library,3050
Albright Memorial Library,Wayne County Public Library,646
Albright Memorial Library,Williamsburg Public Library,14
Allentown Public Library,Allentown Public Library,132
Allentown Public Library,Bangor Public Library,35
Allentown Public Library,Barrett Paradise Friendly Library,29
Allentown Public Library,Bethlehem Bookmobile,281
Allentown Public Library,Bethlehem Coolidge Branch,548
Allentown Public Library,Bethlehem Fountain Hill Satellite,12
Allentown Public Library,Bethlehem Main Library,3266
Allentown Public Library,Bethlehem South Side Branch,385
Allentown Public Library,Clymer Library,37
Allentown Public Library,Coplay Public Library,15
Allentown Public Library,Dimmick Main Library,35
Allentown Public Library,Easton Main Library,1503
Allentown Public Library,Easton Palmer Branch,1788
Allentown Public Library,Emmaus Public Library,215
Allentown Public Library,Hughes Library,209
Allentown Public Library,Lehighton Area Memorial Library,83
Allentown Public Library,Lower Macungie Library,444
Allentown Public Library,Monroe County Bookmobile,20
Allentown Public Library,Palmerton Area Library,43
Allentown Public Library,Parkland Community Library,517
Allentown Public Library,Penn-Kidder Branch,15
Allentown Public Library,Pocono Mountain Public Library,62
Allentown Public Library,Pocono Township Branch,33
Allentown Public Library,Public Library of Catasauqua,136
Allentown Public Library,Slatington Public Library,15
Allentown Public Library,Smithfield Branch,83
Allentown Public Library,Southern Lehigh Public Library,127
Allentown Public Library,Western Pocono Community Library,68
Allentown Public Library,Whitehall Township Public Library,90
Altoona Area Public Library,Abington Community Library,303
Altoona Area Public Library,Albright Memorial Library,391
Altoona Area Public Library,Altoona Area Public Library,73
Altoona Area Public Library,Beaverdale Public Library,29
Altoona Area Public Library,Bedford County Library,334
Altoona Area Public Library,Bellwood-Antis Public Library,168
Altoona Area Public Library,Cambria County Library,230
Altoona Area Public Library,Carbondale Public Library,94
Altoona Area Public Library,Carrolltown Public Library,21
Altoona Area Public Library,Claysburg Area Public Library,132
Altoona Area Public Library,Cresson Public Library,13
Altoona Area Public Library,Dalton Community Library,85
Altoona Area Public Library,Ebensburg Public Library,54
Altoona Area Public Library,Everett Free Library,289
Altoona Area Public Library,Federated Library System of Bedford County Outreach,1
Altoona Area Public Library,Hastings Public Library,2
Altoona Area Public Library,Highland Community Library,150
Altoona Area Public Library,Hollidaysburg Area Public Library,779
Altoona Area Public Library,Home Delivery,40
Altoona Area Public Library,Huntingdon Co Lockers,2
Altoona Area Public Library,Huntingdon County Library,536
Altoona Area Public Library,Hyndman-Londonderry Public Library,40
Altoona Area Public Library,Lackawanna County Children's Library,58
Altoona Area Public Library,Lilly Washington Public Library,13
Altoona Area Public Library,Martinsburg Community Library,372
Altoona Area Public Library,Nancy Kay Holmes Branch Library,83
Altoona Area Public Library,Nanty Glo Public Library,30
Altoona Area Public Library,North Pocono Public Library,227
Altoona Area Public Library,Northern Cambria Public Library,15
Altoona Area Public Library,Patton Public Library,8
Altoona Area Public Library,Portage Public Library,36
Altoona Area Public Library,Roaring Spring Community Library,95
Altoona Area Public Library,Saxton Community Library,53
Altoona Area Public Library,South Fork Public Library,8
Altoona Area Public Library,Taylor Community Library,126
Altoona Area Public Library,Tyrone-Snyder Public Library,446
Altoona Area Public Library,Valley Community Library,193
Altoona Area Public Library,Williamsburg Public Library,139
Annie Halenbake Ross Library,Annie Halenbake Ross Library,4
Annie Halenbake Ross Library,Friendship Community Library,13
Annie Halenbake Ross Library,Renovo Area Library,5
Arthur Hufnagel Public Library,Arthur Hufnagel Public Library,2
Arthur Hufnagel Public Library,Carroll Valley Library,4
Arthur Hufnagel Public Library,Collinsville Community Library,17
Arthur Hufnagel Public Library,Dillsburg Area Public Library,53
Arthur Hufnagel Public Library,Dover Area Community Library,128
Arthur Hufnagel Public Library,Gettysburg Library,15
Arthur Hufnagel Public Library,Glatfelter Memorial Library,63
Arthur Hufnagel Public Library,Guthrie Memorial Library: Hanover's Public Library,116
Arthur Hufnagel Public Library,Harbaugh-Thomas Library (Biglerville),4
Arthur Hufnagel Public Library,Kaltreider-Benfer Library,101
Arthur Hufnagel Public Library,Kreutz Creek Valley Library,97
Arthur Hufnagel Public Library,Littlestown Library,5
Arthur Hufnagel Public Library,Manchester Township,8
Arthur Hufnagel Public Library,Martin Library,58
Arthur Hufnagel Public Library,Mason-Dixon Public Library,35
Arthur Hufnagel Public Library,New Oxford Library,5
Arthur Hufnagel Public Library,Paul Smith Library of Southern York County,95
Arthur Hufnagel Public Library,Red Land Community Library,34
Arthur Hufnagel Public Library,Springettsbury Township,6
Arthur Hufnagel Public Library,Trone Memorial Library (East Berlin),4
Arthur Hufnagel Public Library,Village Library,97
Arthur Hufnagel Public Library,York Academy Regional Charter School- Lower School ,4
BCPL - Headquarters,BCPL - Headquarters,16
BCPL - Headquarters,Bernville Area Community Library,25
BCPL - Headquarters,Bethel Tulpehocken Public Library,80
BCPL - Headquarters,Boone Area Library,39
BCPL - Headquarters,Boyertown Community Library,87
BCPL - Headquarters,Brandywine Community Library,46
BCPL - Headquarters,Exeter Community Library,176
BCPL - Headquarters,Fleetwood Area Public Library,57
BCPL - Headquarters,Hamburg Public Library,60
BCPL - Headquarters,Kutztown Community Library,52
BCPL - Headquarters,Mifflin Community Library,94
BCPL - Headquarters,Muhlenberg Community Library,50
BCPL - Headquarters,RACC,2
BCPL - Headquarters,RPL - Northeast Branch,16
BCPL - Headquarters,RPL - Northwest Branch Library,1
BCPL - Headquarters,RPL - Senior Outreach,2
BCPL - Headquarters,RPL - Southeast Branch Library,40
BCPL - Headquarters,Reading Public Library RPL - Main,46
BCPL - Headquarters,Robesonia Community Library,11
BCPL - Headquarters,Schuylkill Valley Community Library,45
BCPL - Headquarters,Sinking Spring Library,56
BCPL - Headquarters,Spring Township Library,73
BCPL - Headquarters,Village Library of Morgantown,20
BCPL - Headquarters,Wernersville Public Library,50
BCPL - Headquarters,West Lawn-Wyomissing Hills Library,32
BCPL - Headquarters,Womelsdorf Community Library,29
Bangor Public Library,Allentown Public Library,78
Bangor Public Library,Bangor Public Library,22
Bangor Public Library,Barrett Paradise Friendly Library,58
Bangor Public Library,Bethlehem Bookmobile,11
Bangor Public Library,Bethlehem Coolidge Branch,39
Bangor Public Library,Bethlehem Fountain Hill Satellite,1
Bangor Public Library,Bethlehem Main Library,198
Bangor Public Library,Bethlehem South Side Branch,11
Bangor Public Library,Clymer Library,28
Bangor Public Library,Coplay Public Library,7
Bangor Public Library,Dimmick Main Library,13
Bangor Public Library,Easton Main Library,190
Bangor Public Library,Easton Palmer Branch,220
Bangor Public Library,Emmaus Public Library,94
Bangor Public Library,Hughes Library,228
Bangor Public Library,Lehighton Area Memorial Library,37
Bangor Public Library,Lower Macungie Library,187
Bangor Public Library,Monroe County Bookmobile,17
Bangor Public Library,Palmerton Area Library,32
Bangor Public Library,Parkland Community Library,214
Bangor Public Library,Penn-Kidder Branch,6
Bangor Public Library,Pocono Mountain Public Library,18
Bangor Public Library,Pocono Township Branch,34
Bangor Public Library,Public Library of Catasauqua,23
Bangor Public Library,Slatington Public Library,12
Bangor Public Library,Smithfield Branch,63
Bangor Public Library,Southern Lehigh Public Library,63
Bangor Public Library,Western Pocono Community Library,64
Bangor Public Library,Whitehall Township Public Library,45
Barrett Paradise Friendly Library,Allentown Public Library,42
Barrett Paradise Friendly Library,Bangor Public Library,27
Barrett Paradise Friendly Library,Barrett Paradise Friendly Library,26
Barrett Paradise Friendly Library,Bethlehem Bookmobile,4
Barrett Paradise Friendly Library,Bethlehem Coolidge Branch,11
Barrett Paradise Friendly Library,Bethlehem Main Library,85
Barrett Paradise Friendly Library,Bethlehem South Side Branch,3
Barrett Paradise Friendly Library,Clymer Library,134
Barrett Paradise Friendly Library,Coplay Public Library,3
Barrett Paradise Friendly Library,Dimmick Main Library,13
Barrett Paradise Friendly Library,Easton Main Library,45
Barrett Paradise Friendly Library,Easton Palmer Branch,66
Barrett Paradise Friendly Library,Emmaus Public Library,28
Barrett Paradise Friendly Library,Hughes Library,494
Barrett Paradise Friendly Library,Lehighton Area Memorial Library,16
Barrett Paradise Friendly Library,Lower Macungie Library,63
Barrett Paradise Friendly Library,Monroe County Bookmobile,124
Barrett Paradise Friendly Library,Palmerton Area Library,9
Barrett Paradise Friendly Library,Parkland Community Library,66
Barrett Paradise Friendly Library,Penn-Kidder Branch,1
Barrett Paradise Friendly Library,Pocono Mountain Public Library,84
Barrett Paradise Friendly Library,Pocono Township Branch,125
Barrett Paradise Friendly Library,Public Library of Catasauqua,13
Barrett Paradise Friendly Library,Slatington Public Library,3
Barrett Paradise Friendly Library,Smithfield Branch,170
Barrett Paradise Friendly Library,Southern Lehigh Public Library,28
Barrett Paradise Friendly Library,Western Pocono Community Library,222
Barrett Paradise Friendly Library,Whitehall Township Public Library,22
Beaverdale Public Library,Abington Community Library,22
Beaverdale Public Library,Albright Memorial Library,14
Beaverdale Public Library,Altoona Area Public Library,15
Beaverdale Public Library,Beaverdale Public Library,2
Beaverdale Public Library,Bellwood-Antis Public Library,3
Beaverdale Public Library,Cambria County Library,53
Beaverdale Public Library,Carbondale Public Library,4
Beaverdale Public Library,Carrolltown Public Library,4
Beaverdale Public Library,Claysburg Area Public Library,2
Beaverdale Public Library,Conemaugh Township Branch,1
Beaverdale Public Library,Cresson Public Library,6
Beaverdale Public Library,Dalton Community Library,7
Beaverdale Public Library,Ebensburg Public Library,18
Beaverdale Public Library,Gallitzin Public Library,4
Beaverdale Public Library,Hastings Public Library,6
Beaverdale Public Library,Highland Community Library,66
Beaverdale Public Library,Hollidaysburg Area Public Library,5
Beaverdale Public Library,Home Delivery,2
Beaverdale Public Library,Lackawanna County Children's Library,4
Beaverdale Public Library,Lilly Washington Public Library,16
Beaverdale Public Library,Martinsburg Community Library,4
Beaverdale Public Library,Meyersdale Public Library,1
Beaverdale Public Library,Nancy Kay Holmes Branch Library,14
Beaverdale Public Library,Nanty Glo Public Library,16
Beaverdale Public Library,North Pocono Public Library,20
Beaverdale Public Library,Northern Cambria Public Library,8
Beaverdale Public Library,Patton Public Library,3
Beaverdale Public Library,Portage Public Library,14
Beaverdale Public Library,Roaring Spring Community Library,2
Beaverdale Public Library,Somerset County Bookmobile,1
Beaverdale Public Library,Somerset County Library,1
Beaverdale Public Library,South Fork Public Library,4
Beaverdale Public Library,Taylor Community Library,15
Beaverdale Public Library,Tyrone-Snyder Public Library,5
Beaverdale Public Library,Valley Community Library,9
Beaverdale Public Library,Williamsburg Public Library,4
Beaverdale Public Library,Windber Public Library,1
Bedford County Library,Altoona Area Public Library,124
Bedford County Library,Bedford County Library,9
Bedford County Library,Bellwood-Antis Public Library,14
Bedford County Library,Claysburg Area Public Library,5
Bedford County Library,Everett Free Library,90
Bedford County Library,Hollidaysburg Area Public Library,93
Bedford County Library,Huntingdon Co Lockers,3
Bedford County Library,Huntingdon County Library,102
Bedford County Library,Hyndman-Londonderry Public Library,77
Bedford County Library,Martinsburg Community Library,41
Bedford County Library,Meyersdale Public Library,20
Bedford County Library,Roaring Spring Community Library,16
Bedford County Library,Saxton Community Library,19
Bedford County Library,Somerset County Bookmobile,45
Bedford County Library,Somerset County Library,40
Bedford County Library,Tyrone-Snyder Public Library,32
Bedford County Library,Windber Public Library,23
Bellwood-Antis Public Library,Abington Community Library,27
Bellwood-Antis Public Library,Albright Memorial Library,24
Bellwood-Antis Public Library,Altoona Area Public Library,121
Bellwood-Antis Public Library,Beaverdale Public Library,3
Bellwood-Antis Public Library,Bedford County Library,58
Bellwood-Antis Public Library,Bellwood-Antis Public Library,2
Bellwood-Antis Public Library,Cambria County Library,23
Bellwood-Antis Public Library,Carbondale Public Library,6
Bellwood-Antis Public Library,Carrolltown Public Library,2
Bellwood-Antis Public Library,Claysburg Area Public Library,16
Bellwood-Antis Public Library,Cresson Public Library,5
Bellwood-Antis Public Library,Dalton Community Library,13
Bellwood-Antis Public Library,Ebensburg Public Library,9
Bellwood-Antis Public Library,Everett Free Library,34
Bellwood-Antis Public Library,Federated Library System of Bedford County Outreach,1
Bellwood-Antis Public Library,Gallitzin Public Library,1
Bellwood-Antis Public Library,Highland Community Library,28
Bellwood-Antis Public Library,Hollidaysburg Area Public Library,115
Bellwood-Antis Public Library,Home Delivery,4
Bellwood-Antis Public Library,Huntingdon County Library,74
Bellwood-Antis Public Library,Hyndman-Londonderry Public Library,4
Bellwood-Antis Public Library,Lackawanna County Children's Library,6
Bellwood-Antis Public Library,Lilly Washington Public Library,2
Bellwood-Antis Public Library,Martinsburg Community Library,61
Bellwood-Antis Public Library,Nancy Kay Holmes Branch Library,8
Bellwood-Antis Public Library,Nanty Glo Public Library,4
Bellwood-Antis Public Library,North Pocono Public Library,27
Bellwood-Antis Public Library,Northern Cambria Public Library,1
Bellwood-Antis Public Library,Patton Public Library,1
Bellwood-Antis Public Library,Portage Public Library,4
Bellwood-Antis Public Library,Roaring Spring Community Library,16
Bellwood-Antis Public Library,Saxton Community Library,2
Bellwood-Antis Public Library,Taylor Community Library,20
Bellwood-Antis Public Library,Tyrone-Snyder Public Library,41
Bellwood-Antis Public Library,Valley Community Library,32
Bellwood-Antis Public Library,Williamsburg Public Library,21
Bernville Area Community Library,BCPL - Headquarters,20
Bernville Area Community Library,Bernville Area Community Library,145
Bernville Area Community Library,Bethel Tulpehocken Public Library,332
Bernville Area Community Library,Boone Area Library,183
Bernville Area Community Library,Boyertown Community Library,537
Bernville Area Community Library,Brandywine Community Library,223
Bernville Area Community Library,Exeter Community Library,617
Bernville Area Community Library,Fleetwood Area Public Library,236
Bernville Area Community Library,Hamburg Public Library,253
Bernville Area Community Library,Kutztown Community Library,224
Bernville Area Community Library,Mifflin Community Library,329
Bernville Area Community Library,Muhlenberg Community Library,180
Bernville Area Community Library,RACC,24
Bernville Area Community Library,RPL - Northeast Branch,65
Bernville Area Community Library,RPL - Northwest Branch Library,16
Bernville Area Community Library,RPL - Senior Outreach,18
Bernville Area Community Library,RPL - Southeast Branch Library,156
Bernville Area Community Library,Reading Public Library RPL - Main,140
Bernville Area Community Library,Robesonia Community Library,97
Bernville Area Community Library,Schuylkill Valley Community Library,156
Bernville Area Community Library,Sinking Spring Library,184
Bernville Area Community Library,Spring Township Library,318
Bernville Area Community Library,Village Library of Morgantown,138
Bernville Area Community Library,Wernersville Public Library,186
Bernville Area Community Library,West Lawn-Wyomissing Hills Library,128
Bernville Area Community Library,Womelsdorf Community Library,166
Bethany Public Library,Abington Community Library,19
Bethany Public Library,Albright Memorial Library,13
Bethany Public Library,Bethany Public Library,2
Bethany Public Library,Carbondale Public Library,5
Bethany Public Library,Dalton Community Library,1
Bethany Public Library,Dingman Township Library,88
Bethany Public Library,Forest City,6
Bethany Public Library,Hallstead - Great Bend,8
Bethany Public Library,Hamlin Library,52
Bethany Public Library,Hawley Public Library,94
Bethany Public Library,Home Delivery,1
Bethany Public Library,Lackawanna County Children's Library,2
Bethany Public Library,Milford Library,174
Bethany Public Library,Montrose,15
Bethany Public Library,Nancy Kay Holmes Branch Library,3
Bethany Public Library,Newfoundland Area Library,59
Bethany Public Library,North Pocono Public Library,8
Bethany Public Library,Northern Wayne Community Library,24
Bethany Public Library,Pleasant Mount Library,35
Bethany Public Library,Susquehanna,4
Bethany Public Library,Taylor Community Library,7
Bethany Public Library,Tunkhannock Public Library,22
Bethany Public Library,Valley Community Library,13
Bethany Public Library,Wayne County Public Library,204
Bethel Tulpehocken Public Library,BCPL - Headquarters,21
Bethel Tulpehocken Public Library,Bernville Area Community Library,256
Bethel Tulpehocken Public Library,Bethel Tulpehocken Public Library,281
Bethel Tulpehocken Public Library,Boone Area Library,286
Bethel Tulpehocken Public Library,Boyertown Community Library,1078
Bethel Tulpehocken Public Library,Brandywine Community Library,378
Bethel Tulpehocken Public Library,Exeter Community Library,1148
Bethel Tulpehocken Public Library,Fleetwood Area Public Library,528
Bethel Tulpehocken Public Library,Hamburg Public Library,530
Bethel Tulpehocken Public Library,Kutztown Community Library,405
Bethel Tulpehocken Public Library,Mifflin Community Library,689
Bethel Tulpehocken Public Library,Muhlenberg Community Library,308
Bethel Tulpehocken Public Library,RACC,49
Bethel Tulpehocken Public Library,RPL - Northeast Branch,100
Bethel Tulpehocken Public Library,RPL - Northwest Branch Library,33
Bethel Tulpehocken Public Library,RPL - Senior Outreach,31
Bethel Tulpehocken Public Library,RPL - Southeast Branch Library,220
Bethel Tulpehocken Public Library,Reading Public Library RPL - Main,252
Bethel Tulpehocken Public Library,Robesonia Community Library,164
Bethel Tulpehocken Public Library,Schuylkill Valley Community Library,280
Bethel Tulpehocken Public Library,Sinking Spring Library,320
Bethel Tulpehocken Public Library,Spring Township Library,513
Bethel Tulpehocken Public Library,Village Library of Morgantown,323
Bethel Tulpehocken Public Library,Wernersville Public Library,293
Bethel Tulpehocken Public Library,West Lawn-Wyomissing Hills Library,174
Bethel Tulpehocken Public Library,Womelsdorf Community Library,286
Bethlehem Bookmobile,Allentown Public Library,30
Bethlehem Bookmobile,Bethlehem Bookmobile,40
Bethlehem Bookmobile,Bethlehem Coolidge Branch,37
Bethlehem Bookmobile,Bethlehem Main Library,34
Bethlehem Bookmobile,Bethlehem South Side Branch,28
Bethlehem Bookmobile,Clymer Library,1
Bethlehem Bookmobile,Easton Main Library,15
Bethlehem Bookmobile,Easton Palmer Branch,26
Bethlehem Bookmobile,Emmaus Public Library,4
Bethlehem Bookmobile,Hughes Library,4
Bethlehem Bookmobile,Lehighton Area Memorial Library,5
Bethlehem Bookmobile,Lower Macungie Library,4
Bethlehem Bookmobile,Monroe County Bookmobile,1
Bethlehem Bookmobile,Parkland Community Library,10
Bethlehem Bookmobile,Pocono Mountain Public Library,1
Bethlehem Bookmobile,Smithfield Branch,2
Bethlehem Bookmobile,Southern Lehigh Public Library,3
Bethlehem Bookmobile,Whitehall Township Public Library,1
Bethlehem Coolidge Branch,Allentown Public Library,132
Bethlehem Coolidge Branch,Bangor Public Library,8
Bethlehem Coolidge Branch,Barrett Paradise Friendly Library,5
Bethlehem Coolidge Branch,Bethlehem Bookmobile,248
Bethlehem Coolidge Branch,Bethlehem Coolidge Branch,218
Bethlehem Coolidge Branch,Bethlehem Fountain Hill Satellite,4
Bethlehem Coolidge Branch,Bethlehem Main Library,895
Bethlehem Coolidge Branch,Bethlehem South Side Branch,116
Bethlehem Coolidge Branch,Clymer Library,8
Bethlehem Coolidge Branch,Coplay Public Library,2
Bethlehem Coolidge Branch,Dimmick Main Library,3
Bethlehem Coolidge Branch,Easton Main Library,102
Bethlehem Coolidge Branch,Easton Palmer Branch,148
Bethlehem Coolidge Branch,Emmaus Public Library,28
Bethlehem Coolidge Branch,Hughes Library,20
Bethlehem Coolidge Branch,Lehighton Area Memorial Library,7
Bethlehem Coolidge Branch,Lower Macungie Library,37
Bethlehem Coolidge Branch,Monroe County Bookmobile,6
Bethlehem Coolidge Branch,Palmerton Area Library,6
Bethlehem Coolidge Branch,Parkland Community Library,45
Bethlehem Coolidge Branch,Penn-Kidder Branch,3
Bethlehem Coolidge Branch,Pocono Mountain Public Library,3
Bethlehem Coolidge Branch,Pocono Township Branch,3
Bethlehem Coolidge Branch,Public Library of Catasauqua,7
Bethlehem Coolidge Branch,Slatington Public Library,2
Bethlehem Coolidge Branch,Smithfield Branch,10
Bethlehem Coolidge Branch,Southern Lehigh Public Library,20
Bethlehem Coolidge Branch,Western Pocono Community Library,9
Bethlehem Coolidge Branch,Whitehall Township Public Library,15
Bethlehem Fountain Hill Satellite,Allentown Public Library,13
Bethlehem Fountain Hill Satellite,Bangor Public Library,2
Bethlehem Fountain Hill Satellite,Barrett Paradise Friendly Library,1
Bethlehem Fountain Hill Satellite,Bethlehem Bookmobile,55
Bethlehem Fountain Hill Satellite,Bethlehem Coolidge Branch,58
Bethlehem Fountain Hill Satellite,Bethlehem Fountain Hill Satellite,2
Bethlehem Fountain Hill Satellite,Bethlehem Main Library,209
Bethlehem Fountain Hill Satellite,Bethlehem South Side Branch,20
Bethlehem Fountain Hill Satellite,Clymer Library,2
Bethlehem Fountain Hill Satellite,Coplay Public Library,1
Bethlehem Fountain Hill Satellite,Dimmick Main Library,2
Bethlehem Fountain Hill Satellite,Easton Main Library,15
Bethlehem Fountain Hill Satellite,Easton Palmer Branch,19
Bethlehem Fountain Hill Satellite,Emmaus Public Library,6
Bethlehem Fountain Hill Satellite,Hughes Library,8
Bethlehem Fountain Hill Satellite,Lehighton Area Memorial Library,2
Bethlehem Fountain Hill Satellite,Lower Macungie Library,10
Bethlehem Fountain Hill Satellite,Palmerton Area Library,1
Bethlehem Fountain Hill Satellite,Parkland Community Library,8
Bethlehem Fountain Hill Satellite,Penn-Kidder Branch,3
Bethlehem Fountain Hill Satellite,Pocono Mountain Public Library,3
Bethlehem Fountain Hill Satellite,Pocono Township Branch,3
Bethlehem Fountain Hill Satellite,Southern Lehigh Public Library,3
Bethlehem Fountain Hill Satellite,Western Pocono Community Library,5
Bethlehem Fountain Hill Satellite,Whitehall Township Public Library,3
Bethlehem Main Library,Allentown Public Library,2051
Bethlehem Main Library,Bangor Public Library,46
Bethlehem Main Library,Barrett Paradise Friendly Library,52
Bethlehem Main Library,Bethlehem Bookmobile,1577
Bethlehem Main Library,Bethlehem Coolidge Branch,1878
Bethlehem Main Library,Bethlehem Fountain Hill Satellite,25
Bethlehem Main Library,Bethlehem Main Library,1219
Bethlehem Main Library,Bethlehem South Side Branch,1250
Bethlehem Main Library,Clymer Library,35
Bethlehem Main Library,Coplay Public Library,15
Bethlehem Main Library,Dimmick Main Library,37
Bethlehem Main Library,Easton Main Library,1699
Bethlehem Main Library,Easton Palmer Branch,1940
Bethlehem Main Library,Emmaus Public Library,206
Bethlehem Main Library,Hughes Library,276
Bethlehem Main Library,Lehighton Area Memorial Library,220
Bethlehem Main Library,Lower Macungie Library,465
Bethlehem Main Library,Monroe County Bookmobile,18
Bethlehem Main Library,Palmerton Area Library,40
Bethlehem Main Library,Parkland Community Library,543
Bethlehem Main Library,Penn-Kidder Branch,15
Bethlehem Main Library,Pocono Mountain Public Library,96
Bethlehem Main Library,Pocono Township Branch,48
Bethlehem Main Library,Public Library of Catasauqua,165
Bethlehem Main Library,Slatington Public Library,24
Bethlehem Main Library,Smithfield Branch,184
Bethlehem Main Library,Southern Lehigh Public Library,162
Bethlehem Main Library,Western Pocono Community Library,109
Bethlehem Main Library,Whitehall Township Public Library,134
Bethlehem South Side Branch,Allentown Public Library,396
Bethlehem South Side Branch,Bangor Public Library,10
Bethlehem South Side Branch,Barrett Paradise Friendly Library,4
Bethlehem South Side Branch,Bethlehem Bookmobile,294
Bethlehem South Side Branch,Bethlehem Coolidge Branch,400
Bethlehem South Side Branch,Bethlehem Fountain Hill Satellite,1
Bethlehem South Side Branch,Bethlehem Main Library,1887
Bethlehem South Side Branch,Bethlehem South Side Branch,52
