Check Out Library Name,Circulation Modifier,Circulation
Public Library of Catasauqua,DVD Nonfiction,2
Smithfield Branch,DVD Nonfiction,2
Barrett Paradise Friendly Library,DVD-R,2
Bethlehem Fountain Hill Satellite,DVD-R,2
Cresson Public Library,DVD-R,2
DuBois Public Library,DVD-R,2
Minersville Public Library,DVD-R,2
Roaring Spring Community Library,DVD-R,2
Pottsville Free Public Library,Electronic Device,2
Bangor Public Library,Equipment,2
Bethlehem Coolidge Branch,Equipment,2
Everett Free Library,Equipment,2
Exeter Community Library,Equipment,2
Lehighton Area Memorial Library,Equipment,2
Mary S. Biesecker Main Library,Equipment,2
Muhlenberg Community Library,Equipment,2
New Castle Public Library,Equipment,2
Pleasant Mount Library,Equipment,2
Reading Public Library RPL - Main,Equipment,2
Albright Memorial Library,Government Document,2
Exeter Community Library,Government Document,2
Taylor Community Library,Government Document,2
Bethlehem Coolidge Branch,High Demand Audiobooks,2
Dillsburg Area Public Library,High Demand Audiobooks,2
Bernville Area Community Library,High Demand Books,2
North Pocono Public Library,High Demand Books,2
Kreutz Creek Valley Library,High Demand DVD and Blurays,2
Mason-Dixon Public Library,High Demand DVD and Blurays,2
Smithfield Branch,High Demand DVD and Blurays,2
Bethlehem Bookmobile,High Demand DVD-R,2
Coplay Public Library,High Demand DVD-R,2
Arthur Hufnagel Public Library,ILL,2
Bethlehem Coolidge Branch,Kit,2
Glatfelter Memorial Library,Kit,2
Northern Cambria Public Library,Kit,2
RPL - Northwest Branch Library,Kit,2
Slatington Public Library,Kit,2
Carrolltown Public Library,Media,2
Conemaugh Township Branch,Media,2
Dingman Township Library,Media,2
Everett Free Library,Media,2
Lehighton Area Memorial Library,Media,2
Milford Library,Media,2
Orwigsburg Area Free Public Library,Media,2
Pocono Township Branch,Media,2
Springettsbury Township,Media,2
Susquehanna,Media,2
Tamaqua Public Library,Media,2
Tunkhannock Public Library,Media,2
Easton Palmer Branch,Music,2
Orwigsburg Area Free Public Library,Music,2
Western Pocono Community Library,Music,2
Bethlehem Main Library,Noncirculating,2
Carbondale Public Library,Noncirculating,2
Coudersport Public Library,Noncirculating,2
Curwensville Public Library,Noncirculating,2
Ebensburg Public Library,Noncirculating,2
Green Free Library (Wellsboro),Noncirculating,2
Hamburg Public Library,Noncirculating,2
Milford Library,Noncirculating,2
Northern Cambria Public Library,Noncirculating,2
Paul Smith Library of Southern York County,Noncirculating,2
Saxton Community Library,Noncirculating,2
Somerset County Bookmobile,Noncirculating,2
Conemaugh Township Branch,Realia,2
Saxton Community Library,Realia,2
Guthrie Memorial Library: Hanover's Public Library,Serial,2
Milton Public Library,Serial,2
Monroe County Correctional Facility,Serial,2
Kaltreider-Benfer Library,Software,2
Manchester Township,Software,2
Village Library,Software,2
DuBois Public Library,Unknown,2
Green Free Library (Wellsboro),Unknown,2
Taylor Community Library,Unknown,2
Allentown Public Library,Video,2
Bethlehem South Side Branch,Video,2
Galeton Public Library,Video,2
Highland Community Library,Video,2
Nancy Kay Holmes Branch Library,Video,2
Allentown Public Library,,2
Ashland Public Library,,2
Bangor Public Library,,2
Bethlehem Coolidge Branch,,2
Clearfield County Public Library,,2
Coplay Public Library,,2
Dillsburg Area Public Library,,2
Lehighton Area Memorial Library,,2
Meyersdale Public Library,,2
Orwigsburg Area Free Public Library,,2
Smithfield Branch,,2
Clinton County Traveling Library,Audiobook,3
York Academy Regional Charter School- Lower School ,Audiobook,3
Cresson Public Library,Book Club Kit,3
Guthrie Memorial Library: Hanover's Public Library,Book Club Kit,3
Hollidaysburg Area Public Library,Book Club Kit,3
Kaltreider-Benfer Library,Book Club Kit,3
Public Library of Catasauqua,Book Club Kit,3
Ralpho Township Public Library,Book Club Kit,3
Valley Community Library,Book Club Kit,3
Whitehall Township Public Library,Book Club Kit,3
York Academy Regional Charter School- Upper School,DVD,3
Cresson Public Library,DVD Nonfiction,3
Meyersdale Public Library,DVD Nonfiction,3
Northern Wayne Community Library,DVD Nonfiction,3
York Academy Regional Charter School- Upper School,DVD Nonfiction,3
Forest City,DVD-R,3
Shamokin Coal Twp Public Library,DVD-R,3
BCPL - Headquarters,Electronic Device,3
BCPL - Headquarters,Equipment,3
Carroll Valley Library,Equipment,3
Huntingdon County Library,Equipment,3
Schuylkill Valley Community Library,Equipment,3
Abington Community Library,Government Document,3
Bernville Area Community Library,Government Document,3
Boyertown Community Library,Government Document,3
Abington Community Library,High Demand Audiobooks,3
Bethlehem Area Public Library System,High Demand Books,3
Annie Halenbake Ross Library,High Demand DVD and Blurays,3
Glatfelter Memorial Library,High Demand DVD and Blurays,3
Northern Wayne Community Library,High Demand DVD and Blurays,3
Public Library of Catasauqua,High Demand DVD and Blurays,3
Penn-Kidder Branch,ILL,3
Village Library of Morgantown,ILL,3
Arthur Hufnagel Public Library,Kit,3
Bethany Public Library,Kit,3
Bethlehem South Side Branch,Kit,3
Claysburg Area Public Library,Kit,3
Genesee Area Library,Kit,3
Gettysburg Library,Kit,3
Hallstead - Great Bend,Kit,3
New Oxford Library,Kit,3
Ringtown Area Library,Media,3
Windber Public Library,Media,3
Abington Community Library,Music,3
Clymer Library,Music,3
Public Library of Catasauqua,Music,3
Taylor Community Library,Music,3
Easton Main Library,Noncirculating,3
Guthrie Memorial Library: Hanover's Public Library,Noncirculating,3
Lower Macungie Library,Noncirculating,3
Mary S. Biesecker Main Library,Noncirculating,3
Meyersdale Public Library,Noncirculating,3
Nanty Glo Public Library,Noncirculating,3
New Oxford Library,Noncirculating,3
Renovo Area Library,Noncirculating,3
South Fork Public Library,Noncirculating,3
Whitehall Township Public Library,Noncirculating,3
Meyersdale Public Library,Realia,3
North Pocono Public Library,Realia,3
Ralpho Township Public Library,Realia,3
Genesee Area Library,Software,3
Lilly Washington Public Library,Software,3
Nancy Kay Holmes Branch Library,Software,3
Northern Cambria Public Library,Video,3
Altoona Area Public Library,,3
Bellwood-Antis Public Library,,3
Cresson Public Library,,3
Easton Palmer Branch,,3
FD Campbell Memorial Library,,3
Martinsburg Community Library,,3
North Pocono Public Library,,3
Public Library of Catasauqua,,3
RPL - Senior Outreach,,3
Saxton Community Library,,3
FD Campbell Memorial Library,Audiobook,4
Forest City,Book Club Kit,4
Joseph & Elizabeth Shaw Public Library,Book Club Kit,4
Mahanoy City Public Library,Book Club Kit,4
Claysburg Area Public Library,DVD Nonfiction,4
Curwensville Public Library,DVD Nonfiction,4
Lilly Washington Public Library,DVD Nonfiction,4
Red Land Community Library,DVD Nonfiction,4
Pocono Township Branch,DVD-R,4
Knoxville Public Library,Electronic Device,4
Boone Area Library,Equipment,4
RACC,Equipment,4
Lincoln Charter School,High Demand Books,4
RPL - Senior Outreach,High Demand Books,4
Bethany Public Library,High Demand DVD and Blurays,4
Bethlehem Coolidge Branch,High Demand DVD and Blurays,4
Bethlehem South Side Branch,ILL,4
RPL - Northwest Branch Library,ILL,4
Smithfield Branch,ILL,4
Carrolltown Public Library,Kit,4
Public Library of Catasauqua,Kit,4
Hawley Public Library,Media,4
Martin Library,Media,4
Tyrone-Snyder Public Library,Media,4
Lehighton Area Memorial Library,Music,4
Williamsburg Public Library,Music,4
Abington Community Library,Noncirculating,4
Alexander Hamilton Memorial Free Library,Noncirculating,4
Glatfelter Memorial Library,Noncirculating,4
Pocono Township Branch,Noncirculating,4
Pottsville Free Public Library,Noncirculating,4
Shenandoah Area Free Public Library,Noncirculating,4
Slatington Public Library,Noncirculating,4
Tunkhannock Public Library,Noncirculating,4
Ulysses Library Association,Noncirculating,4
Williamsburg Public Library,Noncirculating,4
Annie Halenbake Ross Library,Realia,4
Martinsburg Community Library,Realia,4
Palmerton Area Library,Realia,4
Alexander Hamilton Memorial Free Library,Software,4
Carbondale Public Library,Software,4
Collinsville Community Library,Software,4
Schuylkill Valley Community Library,Unknown,4
Wayne County Public Library,Unknown,4
Lehighton Area Memorial Library,Video,4
North Pocono Public Library,Video,4
Bethlehem South Side Branch,,4
Boyertown Community Library,,4
Ebensburg Public Library,,4
Knoxville Public Library,,4
Kutztown Community Library,,4
Mason-Dixon Public Library,,4
Muhlenberg Community Library,,4
Slatington Public Library,,4
West Lawn-Wyomissing Hills Library,,4
Ashland Public Library,Audiobook,5
Friendship Community Library,Audiobook,5
Ulysses Library Association,Book Club Kit,5
Wayne County Public Library,Book Club Kit,5
Manchester Township,DVD Nonfiction,5
Mason-Dixon Public Library,DVD Nonfiction,5
Bellwood-Antis Public Library,DVD-R,5
Hamburg Public Library,Equipment,5
Kreutz Creek Valley Library,Equipment,5
Dover Area Community Library,High Demand Audiobooks,5
Abington Community Library,High Demand Books,5
New Castle Public Library,High Demand DVD and Blurays,5
RACC,Kit,5
Alexander Hamilton Memorial Free Library,Media,5
Bethlehem Bookmobile,Media,5
Dillsburg Area Public Library,Media,5
Green Free Library (Wellsboro),Media,5
Joseph & Elizabeth Shaw Public Library,Media,5
Kaltreider-Benfer Library,Media,5
Schuylkill Haven Free Public Library,Media,5
Easton Main Library,Music,5
Carrolltown Public Library,Noncirculating,5
Milton Public Library,Noncirculating,5
Hyndman-Londonderry Public Library,Realia,5
Muhlenberg Community Library,Realia,5
Trone Memorial Library (East Berlin),Realia,5
Conemaugh Township Branch,Serial,5
Lackawanna County Children's Library,Serial,5
RPL - Northwest Branch Library,Serial,5
Glatfelter Memorial Library,Software,5
Lackawanna County Children's Library,Software,5
Alexander Hamilton Memorial Free Library,,5
Annie Halenbake Ross Library,,5
Curwensville Public Library,,5
Everett Free Library,,5
Exeter Community Library,,5
Mahanoy City Public Library,,5
Martin Library,,5
Milford Library,,5
Penn-Kidder Branch,,5
York County Libraries,Book,6
DuBois Public Library,Book Club Kit,6
Ellwood City Area Public Library,Book Club Kit,6
Hawley Public Library,Book Club Kit,6
Martinsburg Community Library,Book Club Kit,6
Newfoundland Area Library,Book Club Kit,6
Red Land Community Library,Book Club Kit,6
Somerset County Library,Book Club Kit,6
Tunkhannock Public Library,Book Club Kit,6
Westfield Public Library,Book Club Kit,6
Wyomissing Public Library,Book Club Kit,6
Montrose,DVD Nonfiction,6
Orwigsburg Area Free Public Library,DVD Nonfiction,6
Springettsbury Township,DVD Nonfiction,6
Memorial Library of Nazareth and Vicinity,Electronic Device,6
Arthur Hufnagel Public Library,Equipment,6
Village Library,Equipment,6
Everett Free Library,High Demand Books,6
Pocono Mountain Public Library,High Demand Books,6
RACC,High Demand Books,6
Meyersdale Public Library,High Demand DVD and Blurays,6
Somerset County Library,High Demand DVD and Blurays,6
Village Library,High Demand DVD and Blurays,6
Western Pocono Community Library,High Demand DVD-R,6
Lackawanna County Children's Library,ILL,6
Northern Wayne Community Library,ILL,6
Bellwood-Antis Public Library,Kit,6
Roaring Spring Community Library,Kit,6
Allentown Public Library,Noncirculating,6
Dover Area Community Library,Noncirculating,6
Juniata County Library,Noncirculating,6
Minersville Public Library,Noncirculating,6
Wyomissing Public Library,Noncirculating,6
Hallstead - Great Bend,Realia,6
Village Library of Morgantown,Realia,6
Mason-Dixon Public Library,Serial,6
Knoxville Public Library,Software,6
Hughes Library,Video,6
Bethany Public Library,,6
Blossburg Memorial Library,,6
Gettysburg Library,,6
Spring Township Library,,6
Hamlin Library,Book Club Kit,7
Roaring Spring Community Library,Book Club Kit,7
Somerset County Bookmobile,Book Club Kit,7
Village Library,Book Club Kit,7
Bellwood-Antis Public Library,DVD Nonfiction,7
Williamsburg Public Library,DVD Nonfiction,7
Hallstead - Great Bend,DVD-R,7
Montrose,DVD-R,7
Western Pocono Community Library,DVD-R,7
RPL - Northeast Branch,Equipment,7
North Pocono Public Library,Government Document,7
Forest City,High Demand Books,7
Milford Library,High Demand Books,7
Coplay Public Library,High Demand DVD and Blurays,7
FD Campbell Memorial Library,Kit,7
Friendship Community Library,Kit,7
Nanty Glo Public Library,Kit,7
Ralpho Township Public Library,Kit,7
Smithfield Branch,Media,7
Village Library,Media,7
Joseph & Elizabeth Shaw Public Library,Noncirculating,7
New Castle Public Library,Realia,7
Forest City,,7
Hyndman-Londonderry Public Library,,7
Palmerton Area Library,,7
Tamaqua Public Library,,7
Ulysses Library Association,,7
Dover Area Community Library,Book Club Kit,8
Arthur Hufnagel Public Library,DVD,8
Bethlehem Coolidge Branch,DVD Nonfiction,8
Gettysburg Library,DVD Nonfiction,8
Huntingdon County Library,DVD Nonfiction,8
Littlestown Library,DVD Nonfiction,8
Roaring Spring Community Library,DVD Nonfiction,8
Tyrone-Snyder Public Library,DVD Nonfiction,8
Newfoundland Area Library,DVD-R,8
Slatington Public Library,Electronic Device,8
Red Land Community Library,Equipment,8
Paul Smith Library of Southern York County,High Demand DVD and Blurays,8
Coudersport Public Library,Kit,8
Forest City,Kit,8
Patton Public Library,Kit,8
Portage Public Library,Kit,8
Williamsburg Public Library,Kit,8
Dover Area Community Library,Media,8
Williamsburg Public Library,Media,8
Albright Memorial Library,Music,8
Memorial Library of Nazareth and Vicinity,Music,8
Altoona Area Public Library,Noncirculating,8
Monroe County Correctional Facility,Noncirculating,8
North Pocono Public Library,Noncirculating,8
Red Land Community Library,Noncirculating,8
Altoona Area Public Library,Realia,8
Coplay Public Library,Realia,8
Mary S. Biesecker Main Library,Realia,8
York Literacy Institute,Software,8
Carbondale Public Library,,8
Newfoundland Area Library,,8
Renovo Area Library,,8
Shenandoah Area Free Public Library,,8
Valley Community Library,,8
Bethany Public Library,Audiobook,9
Elkland Area Community Library,Audiobook,9
South Fork Public Library,Audiobook,9
Tyrone-Snyder Public Library,Book Club Kit,9
Carroll Valley Library,DVD Nonfiction,9
Bangor Public Library,DVD-R,9
Dimmick Main Library,DVD-R,9
Hollidaysburg Area Public Library,DVD-R,9
Huntingdon County Library,Electronic Device,9
Genesee Area Library,Equipment,9
Easton Palmer Branch,High Demand Audiobooks,9
Kaltreider-Benfer Library,High Demand DVD and Blurays,9
Southern Lehigh Public Library,High Demand DVD and Blurays,9
Coplay Public Library,Kit,9
Shamokin Coal Twp Public Library,Kit,9
Juniata County Library,Music,9
Albright Memorial Library,Noncirculating,9
Huntingdon County Library,Noncirculating,9
Lincoln Charter School,Noncirculating,9
Monroe County Bookmobile,Noncirculating,9
RACC,Realia,9
RPL - Southeast Branch Library,Realia,9
North Pocono Public Library,Software,9
Cresson Public Library,Video,9
Ellwood City Area Public Library,Video,9
Northern Cambria Public Library,,9
Northern Wayne Community Library,,9
Frackville Free Public Library,Audiobook,10
Genesee Area Library,Audiobook,10
Knoxville Public Library,Audiobook,10
Mary S. Biesecker Main Library,Audiobook,10
Dingman Township Library,Electronic Device,10
Bethlehem South Side Branch,High Demand Audiobooks,10
Glatfelter Memorial Library,High Demand Audiobooks,10
Mason-Dixon Public Library,High Demand Audiobooks,10
RPL - Southeast Branch Library,ILL,10
Mason-Dixon Public Library,Kit,10
Wyomissing Public Library,Kit,10
Highland Community Library,Music,10
Gettysburg Library,Noncirculating,10
Hughes Library,Noncirculating,10
Martin Library,Noncirculating,10
Tamaqua Public Library,Noncirculating,10
Boone Area Library,Realia,10
Dingman Township Library,Realia,10
Exeter Community Library,Realia,10
Lehighton Area Memorial Library,Realia,10
Tamaqua Public Library,Serial,10
BCPL - Headquarters,Software,10
RPL - Northwest Branch Library,Software,10
Dimmick Main Library,,10
Dover Area Community Library,,10
Gallitzin Public Library,,10
Kreutz Creek Valley Library,,10
Lower Macungie Library,,10
Milton Public Library,,10
Susquehanna,,10
Tunkhannock Public Library,,10
Beaverdale Public Library,Audiobook,11
Galeton Public Library,Audiobook,11
RACC,Audiobook,11
Curwensville Public Library,Book Club Kit,11
Portage Public Library,Book Club Kit,11
Potter-Tioga Unit,DVD,11
Palmerton Area Library,DVD-R,11
Slatington Public Library,DVD-R,11
Littlestown Library,Equipment,11
Tunkhannock Public Library,Equipment,11
Collinsville Community Library,High Demand Audiobooks,11
Southern Lehigh Public Library,High Demand Audiobooks,11
Guthrie Memorial Library: Hanover's Public Library,High Demand DVD and Blurays,11
Lower Macungie Library,High Demand DVD-R,11
Littlestown Library,Kit,11
Newfoundland Area Library,Kit,11
Roaring Spring Community Library,Media,11
Pocono Mountain Public Library,Music,11
Hawley Public Library,Noncirculating,11
Valley Community Library,Noncirculating,11
Montrose,Realia,11
RPL - Northeast Branch,Realia,11
Reading Public Library RPL - Main,Realia,11
Spring Township Library,Realia,11
Bethlehem Bookmobile,Software,11
Coudersport Public Library,,11
Federated Library System of Bedford County Outreach,,11
Hallstead - Great Bend,,11
Red Land Community Library,,11
Western Pocono Community Library,,11
Whitehall Township Public Library,,11
York Academy Regional Charter School- Lower School ,,11
Albright Memorial Library,Book Club Kit,12
Hawley Public Library,Electronic Device,12
Nancy Kay Holmes Branch Library,Equipment,12
Bethlehem Fountain Hill Satellite,High Demand Books,12
Clymer Library,High Demand DVD-R,12
Mason-Dixon Public Library,Media,12
Trone Memorial Library (East Berlin),Media,12
Juniata County Library,Realia,12
Kutztown Community Library,Realia,12
Dalton Community Library,,12
Fleetwood Area Public Library,,12
Parkland Community Library,,12
Village Library,,12
Wayne County Public Library,,12
Bethany Public Library,DVD Nonfiction,13
Dover Area Community Library,DVD Nonfiction,13
Portage Public Library,DVD Nonfiction,13
Susquehanna,DVD Nonfiction,13
Glatfelter Memorial Library,Equipment,13
York Academy Regional Charter School- Upper School,High Demand Books,13
Genesee Area Library,ILL,13
Hollidaysburg Area Public Library,ILL,13
Northampton Area Public Library,ILL,13
Alexander Hamilton Memorial Free Library,Kit,13
Dover Area Community Library,Kit,13
RPL - Northeast Branch,Kit,13
York Literacy Institute,Kit,13
Hollidaysburg Area Public Library,Noncirculating,13
Mifflin Community Library,Realia,13
North Wales Area Library,Unknown,13
Glatfelter Memorial Library,,13
Patton Public Library,,13
Ringtown Area Library,Audiobook,14
New Castle Public Library,Book Club Kit,14
Slatington Public Library,Book Club Kit,14
Conemaugh Township Branch,DVD,14
Bethlehem Bookmobile,DVD Nonfiction,14
Clymer Library,DVD-R,14
Bethlehem Bookmobile,High Demand Audiobooks,14
Pleasant Mount Library,High Demand DVD and Blurays,14
Bethlehem South Side Branch,High Demand DVD-R,14
New Oxford Library,Media,14
Bethlehem Main Library,Music,14
Indian Valley Public Library,Noncirculating,14
New Castle Public Library,Noncirculating,14
Oswayo Valley Memorial Library,Serial,14
Montrose,Video,14
Lackawanna County Children's Library,,14
Trone Memorial Library (East Berlin),,14
York Literacy Institute,,14
Coudersport Public Library,Book Club Kit,15
Ashland Public Library,Equipment,15
Ashland Public Library,High Demand Books,15
Newfoundland Area Library,High Demand Books,15
Cambria County Library,Realia,15
Saxton Community Library,Serial,15
Kreutz Creek Valley Library,Software,15
Elkland Area Community Library,,15
Home Delivery,Book,16
Springettsbury Township,DVD,16
Lehighton Area Memorial Library,DVD Nonfiction,16
Patton Public Library,DVD-R,16
Juniata County Library,Electronic Device,16
Mifflin Community Library,Equipment,16
Roaring Spring Community Library,ILL,16
Highland Community Library,Kit,16
Clymer Library,Media,16
Kaltreider-Benfer Library,Noncirculating,16
Barrett Paradise Friendly Library,,16
Hastings Public Library,Audiobook,17
Village Library,DVD Nonfiction,17
Northern Cambria Public Library,DVD-R,17
Trone Memorial Library (East Berlin),Equipment,17
Lower Macungie Library,High Demand Audiobooks,17
Meyersdale Public Library,Kit,17
BCPL - Headquarters,Media,17
Ashland Public Library,Noncirculating,17
Pocono Mountain Public Library,Serial,17
RACC,Software,17
Bethel Tulpehocken Public Library,,17
Reading Public Library RPL - Main,,17
Everett Free Library,DVD Nonfiction,18
Red Land Community Library,High Demand Audiobooks,18
Dover Area Community Library,High Demand DVD and Blurays,18
Bedford County Library,Realia,18
Easton Palmer Branch,Realia,18
Joseph & Elizabeth Shaw Public Library,Serial,18
Beaverdale Public Library,,18
Collinsville Community Library,DVD Nonfiction,19
DuBois Public Library,DVD Nonfiction,19
Highland Community Library,DVD Nonfiction,19
Whitehall Township Public Library,DVD Nonfiction,19
Penn-Kidder Branch,DVD-R,19
Littlestown Library,Media,19
Forest City,Realia,19
Martin Library,Software,19
Whitehall Township Public Library,Software,19
Windber Public Library,Book Club Kit,20
Bethlehem Fountain Hill Satellite,DVD,20
New Oxford Library,DVD Nonfiction,20
Pleasant Mount Library,DVD Nonfiction,20
Hawley Public Library,DVD-R,20
Dover Area Community Library,Equipment,20
Mason-Dixon Public Library,Equipment,20
New Oxford Library,Equipment,20
Conemaugh Township Branch,ILL,20
Parkland Community Library,Noncirculating,20
Tyrone-Snyder Public Library,Noncirculating,20
Meyersdale Public Library,Serial,20
Mansfield Free Public Library,,20
Portage Public Library,,20
Southern Lehigh Public Library,,20
Slatington Public Library,Audiobook,21
Degenstein Community Library,DVD Nonfiction,21
Pocono Mountain Public Library,DVD Nonfiction,21
Pocono Mountain Public Library,DVD-R,21
Harbaugh-Thomas Library (Biglerville),Equipment,21
Coplay Public Library,High Demand Books,21
York Academy Regional Charter School- Lower School ,High Demand Books,21
RACC,ILL,21
Nancy Kay Holmes Branch Library,Kit,21
West Lawn-Wyomissing Hills Library,Realia,21
Highland Community Library,,21
Dimmick Main Library,DVD Nonfiction,22
Easton Palmer Branch,DVD Nonfiction,22
Kaltreider-Benfer Library,DVD Nonfiction,22
Ralpho Township Public Library,DVD-R,22
Whitehall Township Public Library,High Demand DVD and Blurays,22
Bernville Area Community Library,Kit,22
Memorial Library of Nazareth and Vicinity,Noncirculating,22
Roaring Spring Community Library,Noncirculating,22
Bellwood-Antis Public Library,DVD,23
Mahanoy City Public Library,DVD,23
Manchester Township,DVD,23
Alexander Hamilton Memorial Free Library,Electronic Device,23
